0.000: 2.9703  / 3.099
0.816: 1.51526  / 1.5315
0.817: 1.5133599  / 1.522
0.818: 1.50212  / 1.5092
0.819: 1.5077  / 1.5276
0.820: 1.4974201  / 1.5198
0.821: 1.4994  / 1.5178
0.822: 1.49278  / 1.5096
0.823: 1.48868  / 1.4965
0.824: 1.4903  / 1.5373
0.825: 1.4888201  / 1.5002
0.826: 1.48974  / 1.5127
0.827: 1.48726  / 1.5096
0.828: 1.4873201  / 1.5168
0.829: 1.4698  / 1.4884
0.830: 1.4796599  / 1.5029
0.831: 1.46142  / 1.4846
0.832: 1.46838  / 1.4904
0.833: 1.47538  / 1.4886
0.834: 1.4653  / 1.4804
0.835: 1.45418  / 1.4585
0.836: 1.4599401  / 1.4778
0.837: 1.4606  / 1.4669
0.838: 1.46232  / 1.4689
0.839: 1.45382  / 1.4669
0.840: 1.44716  / 1.4579
0.841: 1.44056  / 1.4501
0.842: 1.43932  / 1.4435
0.843: 1.4412  / 1.4474
0.844: 1.43692  / 1.4554
0.845: 1.43176  / 1.4485
0.846: 1.43378  / 1.447
0.847: 1.43452  / 1.4424
0.848: 1.42332  / 1.4369
0.849: 1.41924  / 1.4431
0.850: 1.4262401  / 1.4355
0.851: 1.41782  / 1.4244
0.852: 1.41344  / 1.4367
0.853: 1.41682  / 1.4353
0.854: 1.40724  / 1.4169
0.855: 1.40606  / 1.4094
0.856: 1.4049599  / 1.4131
0.857: 1.40046  / 1.4226
0.858: 1.3962599  / 1.4094
0.859: 1.3924  / 1.4055
0.860: 1.38798  / 1.4118
0.861: 1.3853201  / 1.4046
0.862: 1.38642  / 1.4017
0.863: 1.3858  / 1.3993
0.864: 1.38858  / 1.3947
0.865: 1.38086  / 1.3824
0.866: 1.37738  / 1.3912
0.867: 1.3787  / 1.3872
0.868: 1.36938  / 1.3848
0.869: 1.3663  / 1.3629
0.870: 1.37148  / 1.3953
0.871: 1.36754  / 1.3931
0.872: 1.35846  / 1.3582
0.873: 1.36208  / 1.3819
0.874: 1.35954  / 1.3751
0.875: 1.3506  / 1.3526
0.876: 1.356  / 1.3603
0.877: 1.3463  / 1.3656
0.878: 1.35306  / 1.3636
0.879: 1.3410599  / 1.3594
0.880: 1.34182  / 1.3607
0.881: 1.33294  / 1.3401
0.882: 1.3369  / 1.3487
0.883: 1.32882  / 1.3512
0.884: 1.32942  / 1.3511
0.885: 1.3307201  / 1.3359
0.886: 1.32322  / 1.3351
0.887: 1.3227  / 1.3294
0.888: 1.31882  / 1.3254
0.889: 1.3077201  / 1.3221
0.890: 1.31776  / 1.3289
0.891: 1.3083  / 1.3212
0.892: 1.31442  / 1.3223
0.893: 1.3097401  / 1.3148
0.894: 1.2991201  / 1.3185
0.895: 1.30804  / 1.323
0.896: 1.29744  / 1.3119
0.897: 1.29838  / 1.3064
0.898: 1.29164  / 1.306
0.899: 1.2906  / 1.2885
0.900: 1.28696  / 1.3065
0.901: 1.2849799  / 1.298
0.902: 1.27572  / 1.2937
0.903: 1.28256  / 1.2984
0.904: 1.27162  / 1.282
0.905: 1.27806  / 1.2604
0.906: 1.27398  / 1.3
0.907: 1.26748  / 1.2739
0.908: 1.2647799  / 1.2691
0.909: 1.25644  / 1.2748
0.910: 1.26108  / 1.2625
0.911: 1.2525  / 1.2638
0.912: 1.25576  / 1.2604
0.913: 1.24966  / 1.2638
0.914: 1.2521  / 1.2617
0.915: 1.24574  / 1.2606
0.916: 1.23922  / 1.2393
0.917: 1.2416201  / 1.2494
0.918: 1.23924  / 1.2444
0.919: 1.23776  / 1.238
0.920: 1.23146  / 1.2403
0.921: 1.22998  / 1.245
0.922: 1.22174  / 1.2311
0.923: 1.22366  / 1.2352
0.924: 1.2133  / 1.2165
0.925: 1.21226  / 1.2263
0.926: 1.20856  / 1.2007
0.927: 1.20638  / 1.2323
0.928: 1.20848  / 1.2128
0.929: 1.20046  / 1.2027
0.930: 1.2071  / 1.2089
0.931: 1.1956401  / 1.1967
0.932: 1.20046  / 1.2113
0.933: 1.1976401  / 1.1892
0.934: 1.18644  / 1.1988
0.935: 1.18996  / 1.2113
0.936: 1.1870201  / 1.1903
0.937: 1.18818  / 1.1868
0.938: 1.17582  / 1.1852
0.939: 1.1778599  / 1.1709
0.940: 1.1775401  / 1.1808
0.941: 1.17594  / 1.1908
0.942: 1.16606  / 1.1676
0.943: 1.16536  / 1.1662
0.944: 1.1603401  / 1.1693
0.945: 1.1581  / 1.1596
0.946: 1.1556  / 1.1629
0.947: 1.15118  / 1.1556
0.948: 1.1484799  / 1.1611
0.949: 1.14804  / 1.1477
0.950: 1.14292  / 1.1445
0.951: 1.14306  / 1.1544
0.952: 1.13858  / 1.1472
0.953: 1.14226  / 1.138
0.954: 1.13498  / 1.1393
0.955: 1.12948  / 1.1372
0.956: 1.12694  / 1.1268
0.957: 1.12446  / 1.1335
0.958: 1.12552  / 1.1219
0.959: 1.1202401  / 1.1165
0.960: 1.1154599  / 1.123
0.961: 1.11436  / 1.1203
0.962: 1.11028  / 1.1129
0.963: 1.11006  / 1.1198
0.964: 1.1088799  / 1.1171
0.965: 1.1045  / 1.1055
0.966: 1.0954599  / 1.1038
0.967: 1.09594  / 1.0975
0.968: 1.09368  / 1.0892
0.969: 1.0906  / 1.0963
0.970: 1.09268  / 1.102
0.971: 1.08422  / 1.0893
0.972: 1.08262  / 1.0804
0.973: 1.08258  / 1.081
0.974: 1.0778401  / 1.0818
0.975: 1.07384  / 1.0782
0.976: 1.06906  / 1.0725
0.977: 1.0659  / 1.0673
0.978: 1.06602  / 1.061
0.979: 1.06142  / 1.0596
0.980: 1.06108  / 1.0554
0.981: 1.0557799  / 1.0532
0.982: 1.0508  / 1.0566
0.983: 1.0514599  / 1.0547
0.984: 1.04734  / 1.0531
0.985: 1.0448  / 1.0423
0.986: 1.03958  / 1.0395
0.987: 1.03914  / 1.0393
0.988: 1.0352  / 1.0315
0.989: 1.03078  / 1.0288
0.990: 1.03134  / 1.0324
0.991: 1.02734  / 1.0257
0.992: 1.02316  / 1.0236
0.993: 1.02208  / 1.022
0.994: 1.0162599  / 1.0192
0.995: 1.01404  / 1.0154
0.996: 1.01204  / 1.0133
0.997: 1.00842  / 1.0084
0.998: 1.0055599  / 1.0052
0.999: 1.0033  / 1.0036
